Country,Category,Minutes
Australia,Sleep,512
Austria,Sleep,498
Belgium,Sleep,513
Canada,Sleep,520
Denmark,Sleep,489
Estonia,Sleep,530
Finland,Sleep,508
France,Sleep,513
Germany,Sleep,498
Greece,Sleep,500
Hungary,Sleep,506
Ireland,Sleep,491
Italy,Sleep,513
Japan,Sleep,442
Korea,Sleep,471
Latvia,Sleep,512
Lithuania,Sleep,503
Luxembourg,Sleep,518
Mexico,Sleep,499
Netherlands,Sleep,503
New Zealand,Sleep,526
Norway,Sleep,492
Poland,Sleep,509
Portugal,Sleep,506
Slovenia,Sleep,501
Spain,Sleep,516
Sweden,Sleep,483
Turkey,Sleep,515
United Kingdom,Sleep,508
United States of America,Sleep,528
China,Sleep,542
India,Sleep,528
South Africa,Sleep,553
